"Layered Navigation","Установить ползунки для атрибутов"
"Layered Navigation Filters","Ползунки для атрибутов"
"Add","Добавить"
"Save","Сохранить"
"Close","Закрыть"
"Apply","Подтвердить"
"%s - Layered Navigation Filter","%s - ползунок"
"%s - Filter","%s - фильтр"
"Display Settings","Отобразить настройки"
"Show All Other Filters As","Показывать фильтры как"
"Show Filters of Type 'Price' As","Показывать фильтр 'Цена' как"
"Show Category Filter As","Показывать фильтр категорий как"
"In Category","В категории"
"In Search","В поиске"
"Display As","Показывать как"
"Session Settings","Параметры сессий"
"Remember Applied Category Filters","Запоминать фильтры категорий"
"If set, system remembers filters applied to each category so when customer navigates to a category to which he/she had applied filters earlier, those filtered are still applied.","If set, system remembers filters applied to each category so when customer navigates to a category to which he/she had applied filters earlier, those filtered are still applied."
"Price Filter As","Фильтр цены как"
"Applied to system attribute 'price'","Применить к системному атрибуту 'price'"
"Applied to all other attributes of price type","Применить к остальным атрибутам цены"
"Sort Items By","Сортировать значения по"
"Not applicable to category and price filters","Не применять к фильтрам категорий и цены"
"Combine Multiple Selections Using","Множественный выбор"
"Show Price Filter As","Показывать фильтр цены как"
"MORPHESdev Layered Navigation","Intex модуль ползунков"
"Remember Applied Search Filters","Запомнить примененные поисковые фильтры"
"If set, system remembers filters applied on search page so when customer uses search, those filtered are still applied.","If set, system remembers filters applied on search page so when customer uses search, those filtered are still applied."
"Remember Applied CMS Page Filters","Запомнить примененные фильтры для страниц"
"If set, system remembers filters applied to each CMS page containing layered navigation, so when customer navigates to a CMS page to which he/she had applied filters earlier, those filtered are still applied.","If set, system remembers filters applied to each CMS page containing layered navigation, so when customer navigates to a CMS page to which he/she had applied filters earlier, those filtered are still applied."
"Globally Applied Filters","Глобальные фильтры"
"One or more attribute codes separated by comma (','). If not empty, specified filters are remembered globally across different categories, CMS pages and search.","One or more attribute codes separated by comma (','). If not empty, specified filters are remembered globally across different categories, CMS pages and search."
